NAME                                                                              USED  AVAIL  REFER  MOUNTPOINT
StoragePool/MonitorScripts@autosnap_2017-07-26_10:09:01_hourly                     64K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-26_15:03:01_hourly                     64K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-26_15:04:01_hourly                      8K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-26_15:05:01_hourly                      8K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-26_15:06:01_hourly                     64K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-26_15:12:01_hourly                      8K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-26_15:14:01_hourly                      8K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-26_20:03:01_hourly                     64K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-26_20:06:01_hourly                     64K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-26_20:09:01_hourly                     64K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-26_20:15:01_hourly                     64K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-27_00:00:01_daily                      64K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-27_00:00:01_hourly                     64K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-27_00:03:01_daily                      64K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-27_00:03:01_hourly                     64K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-27_00:06:01_hourly                     64K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-27_00:06:01_daily                      64K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-27_00:08:01_daily                       8K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-27_00:08:01_hourly                      8K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-27_00:13:01_hourly                      8K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-27_00:13:01_daily                       8K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-27_05:03:01_hourly                     64K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-27_05:06:01_hourly                     64K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-27_05:07:01_hourly                      8K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-27_05:08:01_hourly                      8K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-27_10:03:02_hourly                     64K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-27_10:05:01_hourly                     64K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-27_10:08:01_hourly                     64K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-27_10:09:01_hourly                     64K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-27_10:13:01_hourly                     64K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-27_15:04:01_hourly                     64K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-27_15:09:01_hourly                      8K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-27_15:10:01_hourly                      8K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-27_15:11:01_hourly                      8K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-27_20:01:01_hourly                      8K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-27_20:02:01_hourly                      8K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-27_20:03:01_hourly                     64K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-27_20:04:01_hourly                     64K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-27_20:06:01_hourly                     64K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-27_20:09:01_hourly                     64K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-27_20:10:01_hourly                      8K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-27_20:11:01_hourly                      8K      -   160K  -
